"","Hokkaido","Aomori","Iwate","Miyagi","Akita","Yamagata","Fukushima","Ibaraki","Tochigi","Gunma","Saitama","Chiba","Tokyo","Kanagawa","Niigata","Toyama","Ishikawa","Fukui","Yamanashi","Nagano","Gifu","Shizuoka","Aichi","Mie","Shiga","Kyoto","Osaka","Hyogo","Nara","Wakayama","Tottori","Shimane","Okayama","Hiroshima","Yamaguchi","Tokushima","Kagawa","Ehime","Kochi","Fukuoka","Saga","Nagasaki","Kumamoto","Oita","Miyazaki","Kagoshima","Okinawa"
"1",-3.40434782608696,-1.10434782608696,-1.78260869565217,1.81739130434783,0.260869565217391,-0.265217391304348,1.70869565217391,3.17391304347826,2.68260869565217,3.60434782608696,3.82173913043478,6.02173913043478,6.0695652173913,6.08695652173913,2.80434782608696,2.82173913043478,3.80869565217391,3.03913043478261,2.87826086956522,-0.621739130434783,4.39130434782609,6.65652173913043,4.5695652173913,5.4695652173913,3.72173913043478,4.62608695652174,5.98695652173913,5.9,3.98260869565217,6.03913043478261,4.00434782608696,4.36086956521739,4.89565217391304,5.17391304347826,4.32173913043478,6.09565217391304,5.69565217391304,5.97826086956522,6.52173913043478,6.67391304347826,5.5695652173913,6.99565217391304,5.76086956521739,6.33478260869565,7.62608695652174,8.55652173913044,17.1869565217391
"2",-2.88260869565217,-0.591304347826087,-1.09130434782609,2.2695652173913,0.669565217391304,0.18695652173913,2.38695652173913,3.92608695652174,3.74782608695652,4.36521739130435,4.79130434782609,6.47391304347826,6.6304347826087,6.57391304347826,2.99130434782609,3.31739130434783,4.1304347826087,3.55652173913043,4.58695652173913,0.326086956521739,5.35652173913043,7.62608695652174,5.49565217391304,5.86086956521739,4.17391304347826,5.35652173913043,6.53478260869565,6.45217391304348,4.57826086956522,6.63478260869565,4.6,4.9304347826087,5.7,6.09565217391304,5.5304347826087,6.64347826086957,6.2,6.76086956521739,7.86521739130435,7.75217391304348,6.99565217391304,8.0695652173913,7.37391304347826,7.20869565217391,9.02608695652174,9.94782608695652,17.5826086956522
"3",1.04782608695652,2.71739130434783,2.5304347826087,5.4695652173913,3.96086956521739,3.9,5.87826086956522,7.38695652173913,7.48695652173913,7.90869565217391,8.47391304347826,9.74347826086957,9.95652173913044,9.80434782608696,6.1304347826087,6.92173913043478,7.37391304347826,7.21304347826087,8.57826086956522,4.29130434782609,8.95217391304348,10.7347826086957,9.11304347826087,8.97826086956522,7.22608695652174,8.79565217391304,9.84782608695652,9.70434782608696,8.00869565217391,9.96521739130435,7.93478260869565,8.07826086956522,9.12173913043478,9.46521739130435,8.95652173913044,9.92173913043478,9.4695652173913,9.92173913043478,11.1913043478261,10.895652173913,10.3739130434783,11.2086956521739,10.8869565217391,10.2478260869565,12.1086956521739,12.8478260869565,19.0826086956522
"4",7.3,8.59565217391304,8.76521739130435,10.7173913043478,9.69565217391304,10.2521739130435,11.7739130434783,12.3652173913043,12.8608695652174,13.5130434782609,13.7782608695652,14.5347826086957,14.9130434782609,14.5826086956522,11.5565217391304,12.4304347826087,12.704347826087,12.9217391304348,14.0695652173913,10.695652173913,14.6,15.195652173913,14.6652173913043,14.2652173913043,12.5217391304348,14.4521739130435,15.2739130434783,15.0217391304348,13.5913043478261,15.1913043478261,13.2478260869565,13.2260869565217,14.7,14.7869565217391,14.2130434782609,15.0391304347826,14.8217391304348,14.9217391304348,15.9130434782609,15.5695652173913,15.3478260869565,15.6739130434783,15.9608695652174,14.9347826086957,16.5391304347826,17.1652173913043,21.4782608695652
"5",12.8869565217391,13.6086956521739,14.5695652173913,15.6130434782609,15.2434782608696,16.2782608695652,17.2652173913043,17.1,17.904347826087,18.6695652173913,18.704347826087,18.9652173913043,19.4434782608696,18.9173913043478,16.9826086956522,17.6913043478261,17.8565217391304,18.195652173913,18.9130434782609,16.5173913043478,19.5565217391304,19.3304347826087,19.5,19.095652173913,17.7260869565217,19.6304347826087,20.1913043478261,19.8434782608696,18.604347826087,19.9130434782609,18.2434782608696,18.1347826086957,19.8173913043478,19.7347826086957,19.104347826087,19.7173913043478,19.904347826087,19.5739130434783,20.2,20.0608695652174,20.2130434782609,19.7869565217391,20.7217391304348,19.5,20.4913043478261,21.1695652173913,24.295652173913
"6",17.0652173913043,17.5782608695652,18.9347826086957,19.2652173913043,19.6608695652174,20.4173913043478,20.8565217391304,20.404347826087,21.3608695652174,22.2173913043478,22.1304347826087,22.0086956521739,22.5826086956522,21.9347826086957,21.0434782608696,21.5086956521739,21.7695652173913,22.1347826086957,22.3478260869565,20.5086956521739,23.2695652173913,22.4304347826087,23.0695652173913,22.7913043478261,21.9347826086957,23.3521739130435,23.6869565217391,23.3,22.2478260869565,23.304347826087,22.1565217391304,21.8347826086957,23.4739130434783,23.304347826087,22.7347826086957,23.0304347826087,23.4173913043478,22.9695652173913,23.2173913043478,23.4086956521739,23.6695652173913,23.104347826087,23.8869565217391,22.7086956521739,23.3173913043478,24.1521739130435,27.204347826087
"7",21.1130434782609,21.8565217391304,22.6652173913043,23.1173913043478,23.6086956521739,24.1173913043478,24.5608695652174,24.4521739130435,25.0913043478261,26.0565217391304,26.1434782608696,25.9739130434783,26.5826086956522,25.8565217391304,25.104347826087,25.7521739130435,26.0347826086957,26.304347826087,26.2347826086957,24.4347826086957,27.2217391304348,26.2304347826087,27.104347826087,26.9913043478261,26.304347826087,27.4782608695652,27.8347826086957,27.2173913043478,26.3391304347826,27.3652173913043,26.3130434782609,25.9391304347826,27.5260869565217,27.2869565217391,26.6565217391304,26.9652173913043,27.6173913043478,27.2478260869565,27.1130434782609,27.6,27.5,27.095652173913,27.6695652173913,26.9434782608696,27.4608695652174,28.2565217391304,29.1
"8",22.4173913043478,23.4608695652174,23.5260869565217,24.3521739130435,25.1086956521739,25,25.4478260869565,25.5478260869565,25.9304347826087,26.7260869565217,26.9173913043478,27.0739130434783,27.5652173913043,26.9913043478261,26.6478260869565,26.9913043478261,27.4260869565217,27.4304347826087,27.0217391304348,25.3086956521739,28.295652173913,27.3652173913043,28.1739130434783,27.9565217391304,27.5347826086957,28.4913043478261,29.0347826086957,28.5739130434783,27.2434782608696,28.4565217391304,27.3173913043478,27.1869565217391,28.6173913043478,28.4739130434783,27.6260869565217,28.1608695652174,28.6782608695652,28.204347826087,27.9608695652174,28.5347826086957,28.2869565217391,28.2478260869565,28.5608695652174,27.8652173913043,27.8608695652174,28.9304347826087,28.9478260869565
"9",18.6869565217391,19.8565217391304,19.3652173913043,21.2,21,20.695652173913,21.5826086956522,22.1347826086957,22.4260869565217,22.8913043478261,23.2391304347826,23.8173913043478,24.1478260869565,23.7260869565217,22.8,22.8347826086957,23.2173913043478,23.1304347826087,23.2347826086957,21.0130434782609,24.5086956521739,24.4565217391304,24.5130434782609,24.4173913043478,23.6217391304348,24.4304347826087,25.1826086956522,25.2608695652174,23.2,24.9565217391304,22.9304347826087,22.9869565217391,24.5782608695652,24.6695652173913,23.795652173913,24.7869565217391,24.795652173913,24.6739130434783,25.0304347826087,24.804347826087,24.695652173913,25.0869565217391,25.3130434782609,24.3565217391304,24.9260869565217,26.4130434782609,27.9913043478261
"10",12.0173913043478,13.4521739130435,12.6086956521739,15.6695652173913,14.4739130434783,14.095652173913,15.6304347826087,16.5782608695652,16.6782608695652,17.0565217391304,17.495652173913,18.6869565217391,18.8652173913043,18.595652173913,16.795652173913,17.0347826086957,17.5826086956522,17.1826086956522,17.1565217391304,14.4086956521739,18.7086956521739,19.4826086956522,18.7,18.8652173913043,17.7304347826087,18.4652173913043,19.4869565217391,19.7565217391304,17.2304347826087,19.3521739130435,17.295652173913,17.4652173913043,18.6434782608696,18.8869565217391,17.9347826086957,19.404347826087,19.1478260869565,19.2478260869565,19.9782608695652,19.7739130434783,19.2695652173913,20.1608695652174,19.7521739130435,19.2826086956522,20.1652173913043,21.7391304347826,25.604347826087
